Protein,log2FC,AveExpr,t,p_value,adj_p_value,B,Description,significant_FDR05,significant_FC1
O35244,0.392697844322203,27.345702062466,2.13627606309936,0.0418187490391721,0.149536834459035,-4.16893259601063,Peroxiredoxin-6 OS=Rattus norvegicus OX=10116 GN=Prdx6 PE=1 SV=3,False,False
P10536,-0.544142280755235,24.2132111695697,-3.86081407775115,0.0006339201579391,0.0152563451344012,-0.38037508705721,Ras-related protein Rab-1B OS=Rattus norvegicus OX=10116 GN=Rab1b PE=1 SV=1,True,False
P17764,0.563575788069148,27.0336155977202,0.908404039055392,0.371654944805427,0.583257060211294,-5.86710564487806,"Acetyl-CoA acetyltransferase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Acat1 PE=1 SV=1",False,False
Q5XI32,-0.0515153585616801,27.6272399803699,-0.303936057999581,0.763492882315661,0.858632182292691,-6.22749020175865,F-actin-capping protein subunit beta OS=Rattus norvegicus OX=10116 GN=Capzb PE=1 SV=1,False,False
P31000,-0.320643791263425,28.9816812957994,-3.33839278579025,0.0024559216654829,0.031663847187119,-1.63231540599214,Vimentin OS=Rattus norvegicus OX=10116 GN=Vim PE=1 SV=2,True,False
P07632,0.294151355834632,29.5091891141287,2.48928621706609,0.0192175524834709,0.0959106421179677,-3.49153141868988,Superoxide dismutase [Cu-Zn] OS=Rattus norvegicus OX=10116 GN=Sod1 PE=1 SV=2,False,False
Q6AYH5,0.322428586104003,28.3156657487509,1.76300531492611,0.08914928856216,0.248836802868091,-4.80405795457732,Dynactin subunit 2 OS=Rattus norvegicus OX=10116 GN=Dctn2 PE=1 SV=1,False,False
Q9JI66,-0.156196963234013,27.3014109593816,-0.875059178256256,0.389214383746062,0.59600247006075,-5.89598489858188,Electrogenic sodium bicarbonate cotransporter 1 OS=Rattus norvegicus OX=10116 GN=Slc4a4 PE=1 SV=1,False,False
P07895,0.496831510349548,26.7948704325624,2.44251958899569,0.021368586830278,0.100366867349009,-3.58509301379153,"Superoxide dismutase [Mn], mitochondrial OS=Rattus norvegicus OX=10116 GN=Sod2 PE=1 SV=2",False,False
Q02563,-0.437576465767229,28.2167905962545,-2.51851653870847,0.0179764353927748,0.0924680556412458,-3.43250108080002,Synaptic vesicle glycoprotein 2A OS=Rattus norvegicus OX=10116 GN=Sv2a PE=1 SV=2,False,False
P47728,0.385100094859432,27.6233031093633,2.55579319767544,0.016501172028262,0.0907145650081613,-3.35661847861029,Calretinin OS=Rattus norvegicus OX=10116 GN=Calb2 PE=1 SV=1,False,False
Q62812,-0.347224423746109,30.5778357150529,-2.7795551364712,0.0097619140693166,0.0700142578613901,-2.88770524492891,Myosin-9 OS=Rattus norvegicus OX=10116 GN=Myh9 PE=1 SV=3,False,False
Q5XIH7,-0.0762177489047637,28.0590875679372,-0.307371608558191,0.76090501448679,0.857241410354463,-6.2264431096982,Prohibitin-2 OS=Rattus norvegicus OX=10116 GN=Phb2 PE=1 SV=1,False,False
P03994,-0.14545373625003,26.5252571192759,-0.573126890868989,0.571273738995087,0.729586626570377,-6.11029846511504,Hyaluronan and proteoglycan link protein 1 OS=Rattus norvegicus OX=10116 GN=Hapln1 PE=1 SV=2,False,False
P82471,-0.376376507070972,26.879718993947,-3.25724585068551,0.0030163598885717,0.0337478617096713,-1.8209047201712,Guanine nucleotide-binding protein G(q) subunit alpha OS=Rattus norvegicus OX=10116 GN=Gnaq PE=2 SV=2,True,False
O35353,0.101145710983602,28.1370530928024,0.798186131249218,0.431686353161676,0.625858528077771,-5.95866692773298,Guanine nucleotide-binding protein subunit beta-4 OS=Rattus norvegicus OX=10116 GN=Gnb4 PE=2 SV=4,False,False
P39069,-0.108375434268744,27.3989877580496,-0.690449455507415,0.495769926907163,0.679929289475733,-6.03724483150357,Adenylate kinase isoenzyme 1 OS=Rattus norvegicus OX=10116 GN=Ak1 PE=1 SV=3,False,False
P20788,0.0951378192749566,26.8195404466873,0.796933022229091,0.432401459403301,0.625880370259622,-5.95964336895509,"Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Rattus norvegicus OX=10116 GN=Uqcrfs1 PE=1 SV=2",False,False
P85834,0.366495740146661,26.8336044345159,1.32856093852282,0.195047881828183,0.403123771030386,-5.418945980485,"Elongation factor Tu, mitochondrial OS=Rattus norvegicus OX=10116 GN=Tufm PE=1 SV=1",False,False
Q68FX0,-0.0293196850647881,28.7827057544385,-0.210560466943123,0.834801943253075,0.902285932677725,-6.25146518159308,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Rattus norvegicus OX=10116 GN=Idh3B PE=2 SV=1",False,False
P84076,0.240843079036551,27.4283763120284,1.22284661067139,0.231892435080091,0.436006088874545,-5.54599396095316,Neuron-specific calcium-binding protein hippocalcin OS=Rattus norvegicus OX=10116 GN=Hpca PE=1 SV=2,False,False
P18418,-0.0599883705741675,27.9909610650309,-0.250036501452479,0.804440645246766,0.883579329414044,-6.24238606835764,Calreticulin OS=Rattus norvegicus OX=10116 GN=Calr PE=1 SV=1,False,False
Q5XIM9,-0.23046911058556,29.4951012211581,-1.96569261864658,0.0596342251553267,0.188291154061862,-4.47040251543791,T-complex protein 1 subunit beta OS=Rattus norvegicus OX=10116 GN=Cct2 PE=1 SV=3,False,False
Q9JHU0,0.066396405304431,27.820373315559,0.345662719206791,0.732259198829076,0.840972123363616,-6.21398250177634,Dihydropyrimidinase-related protein 5 OS=Rattus norvegicus OX=10116 GN=Dpysl5 PE=1 SV=1,False,False
Q62656,-0.0889029081285173,29.0136763811872,-0.778522469742422,0.442990980013438,0.633763845910903,-5.97382048887311,Receptor-type tyrosine-protein phosphatase zeta OS=Rattus norvegicus OX=10116 GN=Ptprz1 PE=1 SV=1,False,False
P52873,-0.146182150390668,28.8181028217959,-0.783747069948545,0.439970043751451,0.631939534557068,-5.96982938725405,"Pyruvate carboxylase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Pc PE=1 SV=2",False,False
P19511,0.470587903139624,27.6197695777284,3.62897975512792,0.0011630515627332,0.019307098861488,-0.943105656337051,"ATP synthase F(0) complex subunit B1, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5pb PE=1 SV=1",True,False
Q5HZV9,0.375607145399357,30.9035375858867,1.51725309749949,0.140756937186744,0.329243548538324,-5.16962564478672,Protein phosphatase 1 regulatory subunit 7 OS=Rattus norvegicus OX=10116 GN=Ppp1r7 PE=1 SV=1,False,False
P63025,-0.167325255069404,27.7430258781048,-1.17429256199728,0.250471410443284,0.458985681066119,-5.6012016188879,Vesicle-associated membrane protein 3 OS=Rattus norvegicus OX=10116 GN=Vamp3 PE=1 SV=1,False,False
Q63362,-0.113353180995283,25.7871792000168,-0.800999298474078,0.430083613775677,0.625858528077771,-5.9564695438746,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Rattus norvegicus OX=10116 GN=Ndufa5 PE=1 SV=3,False,False
Q5GFD9,-0.0131621777030126,27.1827081650003,-0.0511157951907261,0.959607321060136,0.972174676059988,-6.27232248625448,Protein IMPACT OS=Rattus norvegicus OX=10116 GN=Impact PE=1 SV=1,False,False
P62804,0.376134104068832,29.1924720716499,1.81342947517202,0.0808305826436893,0.235321293019128,-4.72366133484227,Histone H4 OS=Rattus norvegicus OX=10116 GN=H4c2 PE=1 SV=2,False,False
Q9JK11,0.0441694229198184,26.8534775333854,0.38598691173956,0.702513298414723,0.822510164522319,-6.19929577318051,Reticulon-4 OS=Rattus norvegicus OX=10116 GN=Rtn4 PE=1 SV=1,False,False
P85515,-0.184118153035982,27.06562728036,-1.91155340349892,0.0665380031486453,0.203049242244884,-4.56222030913102,Alpha-centractin OS=Rattus norvegicus OX=10116 GN=Actr1a PE=1 SV=1,False,False
P20651,-0.076538334417112,27.3639138845145,-0.649436584276762,0.52151088333675,0.69814126904042,-6.06427729169997,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform OS=Rattus norvegicus OX=10116 GN=Ppp3cb PE=1 SV=1,False,False
B3GNI6,0.357591849538242,27.9591996610355,2.24189653165269,0.033332887896698,0.129854379827784,-3.97347464999971,Septin-11 OS=Rattus norvegicus OX=10116 GN=Septin11 PE=1 SV=1,False,False
P55068,0.330448235941454,27.8056151254678,3.75271361236808,0.0008421049466758,0.0161184144201206,-0.643993706147221,Brevican core protein OS=Rattus norvegicus OX=10116 GN=Bcan PE=1 SV=2,True,False
P13638,0.289830025363599,26.8906841669696,1.58424750240806,0.124713081176922,0.304835188481092,-5.07441498616972,Sodium/potassium-transporting ATPase subunit beta-2 OS=Rattus norvegicus OX=10116 GN=Atp1b2 PE=1 SV=1,False,False
P62986,0.633610156554585,24.5252291852036,2.98018226502912,0.0060093627027728,0.0520651184568237,-2.44952432824739,Ubiquitin-ribosomal protein eL40 fusion protein OS=Rattus norvegicus OX=10116 GN=Uba52 PE=1 SV=2,False,False
Q63429,-0.60713653844897,25.4452810571465,-4.13539187235907,0.0003061743020239,0.0118880775868416,0.297132313761026,Polyubiquitin-C OS=Rattus norvegicus OX=10116 GN=Ubc PE=1 SV=1,True,False
P62982,0.38920878205905,28.3267892377635,1.33372319131694,0.193371709729628,0.401190731105723,-5.41250528131684,Ubiquitin-ribosomal protein eS31 fusion protein OS=Rattus norvegicus OX=10116 GN=Rps27a PE=1 SV=2,False,False
P32736,0.325082206332201,26.48318050234,1.61899219723304,0.117004010620474,0.29495577154466,-5.02370119206759,Opioid-binding protein/cell adhesion molecule OS=Rattus norvegicus OX=10116 GN=Opcml PE=1 SV=2,False,False
P29101,-0.234644816753914,27.3835006888941,-0.755546139511104,0.456424028151328,0.651261162698139,-5.99106936884995,Synaptotagmin-2 OS=Rattus norvegicus OX=10116 GN=Syt2 PE=1 SV=1,False,False
Q63754,0.343443509882931,27.2015000463867,1.67593960554493,0.105225661764247,0.277548108898299,-4.93864452567324,Beta-synuclein OS=Rattus norvegicus OX=10116 GN=Sncb PE=1 SV=1,False,False
Q9QXU9,0.386876737666618,26.5095305234661,1.66891218250064,0.106623232980975,0.27959554798643,-4.94926937076488,ProSAAS OS=Rattus norvegicus OX=10116 GN=Pcsk1n PE=1 SV=1,False,False
Q63610,0.108614637038901,27.5799583551864,0.798246270128488,0.431652052180326,0.625858528077771,-5.95862002987187,Tropomyosin alpha-3 chain OS=Rattus norvegicus OX=10116 GN=Tpm3 PE=1 SV=2,False,False
Q5BK63,0.109018116959643,27.2332879130471,0.90635633471059,0.372718100075649,0.583314598817814,-5.86890837585891,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Rattus norvegicus OX=10116 GN=Ndufa9 PE=1 SV=2",False,False
B0BNA5,0.425776600249165,26.2763774342961,1.77103566836059,0.0877775870344189,0.246657765794067,-4.7913731389921,Coactosin-like protein OS=Rattus norvegicus OX=10116 GN=Cotl1 PE=1 SV=1,False,False
P62824,0.0782065103125689,27.6978939184342,0.497565062902835,0.622795039855589,0.771138411175069,-6.15033881084538,Ras-related protein Rab-3C OS=Rattus norvegicus OX=10116 GN=Rab3c PE=1 SV=1,False,False
Q62717,0.149047699199112,29.4597105143486,1.44777707603715,0.159124744550874,0.355409229965038,-5.26470882755962,Calcium-dependent secretion activator 1 OS=Rattus norvegicus OX=10116 GN=Cadps PE=1 SV=1,False,False
O35077,0.362021224576086,27.5652898762913,3.84592018410628,0.0006592780216022,0.0155216977694622,-0.416813257403065,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic OS=Rattus norvegicus OX=10116 GN=Gpd1 PE=1 SV=4",True,False
P35332,0.0940782433391831,26.6097226938853,1.26025344299574,0.218298166486611,0.423686226353047,-5.50210237845983,Hippocalcin-like protein 4 OS=Rattus norvegicus OX=10116 GN=Hpcal4 PE=2 SV=2,False,False
O35796,0.0893829916244187,24.9764491452896,0.429291656593554,0.671097168329391,0.8061952131195,-6.18174224433104,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Rattus norvegicus OX=10116 GN=C1qbp PE=1 SV=2",False,False
P61107,0.768683860684934,28.5767177625252,1.34484517286679,0.189798411367175,0.397476674988739,-5.39855491623222,Ras-related protein Rab-14 OS=Rattus norvegicus OX=10116 GN=Rab14 PE=1 SV=3,False,False
P26772,0.0969678668583214,28.8565412597488,0.982818722343807,0.334370861423297,0.545269713105365,-5.79901506514986,"10 kDa heat shock protein, mitochondrial OS=Rattus norvegicus OX=10116 GN=Hspe1 PE=1 SV=3",False,False
