,AC1R1.raw,AC1R2.raw,AC1R3.raw,AC2R1.raw,AC2R2.raw,AC2R3.raw,AHFD1R1.raw,AHFD1R2.raw,AHFD1R3.raw,AHFD2R1.raw,AHFD2R2.raw,AHFD2R3.raw,AHFD3IPR1.raw,AHFD3IPR2.raw,AHFD3IPR3.raw,AHFD4IPR1.raw,AHFD4IPR2.raw,AHFD4IPR3.raw,AHFD5PioR1.raw,AHFD5PioR2.raw,AHFD5PioR3.raw,AHFD6PioR1.raw,AHFD6PioR2.raw,AHFD6PioR3.raw,AHFD7CrR1.raw,AHFD7CrR2.raw,AHFD7CrR3.raw,AHFD8CrR1.raw,AHFD8CrR2.raw,AHFD8CrR3.raw
Q6AY56,24.6291290227571,25.2889921400358,24.3274519782606,23.9888175032958,23.6634401821709,24.3438933280102,25.8866711685147,25.0802390882382,23.1600368858876,23.6895031550428,23.7229737787212,24.0405958116911,23.3993528498951,24.3734892316204,26.2389852488828,26.025585140677,26.5726695232845,23.7426312255348,26.0356455149248,23.0962524642347,22.5343306377656,23.0569058506361,26.4185788278362,25.9543695698793,25.8868725534898,26.1763375034843,26.1021879555526,25.9392104571441,23.223526854105,23.9083547465331
Q9QUL6,32.2031809263633,32.4321434658892,32.4730361559304,32.0710505007061,31.8247326306589,31.786680028029,32.3198343614675,32.0173036912115,32.1122727998212,31.9329891526672,32.6325940326107,32.146452678691,32.0339543699462,31.8693504207353,32.2695932549644,32.1560536066633,32.1882529467757,32.0190800867448,31.7821771563991,31.6212320998675,32.5388138507209,32.2563967115719,32.5365424279672,32.3509246032474,32.0031039392737,32.0291854251229,32.4944553285547,31.9832890431142,32.2612524098972,32.0152959328426
P34058,27.93919976987,27.8354344518074,27.9276690505958,27.9736842821476,28.6471121647208,27.8117950447684,28.5048130493572,27.7058230430171,28.5930483956496,28.6698053961867,28.1014019431484,27.8584690975414,28.5067642804442,28.7307643175127,28.4521777864824,28.4801488936402,28.4401284546672,28.382540805443,28.6603905262796,28.600170451944,28.5365855217059,28.5355194748909,28.4192715520698,28.1662848698927,28.6629829346447,28.5070660966735,27.6290042951591,28.4694505425738,28.0142698659756,28.4665075833029
P62944,29.1035426095773,29.4275062557841,29.4007671503769,29.2825930254549,29.3609806045662,29.2049272205106,29.1371391547161,29.1428899997041,29.3418956635996,29.2374662793869,29.0429424580417,29.1645253670402,29.2516018267073,29.3271044324314,29.1444939429262,29.1891743889205,29.2963058454256,29.2478971685558,29.4114568501496,29.2641208530465,29.1803168991394,29.2851148756984,29.2895833885389,29.1087599960503,29.4029354291059,29.2202525262758,29.1710793444696,29.2743460456213,29.1224588550772,29.1010783115037
P50398,28.9051094171267,29.1084476180231,28.8258253693118,29.0863827581414,29.1812790824758,28.7886224777506,29.3384463977213,28.9524846800257,29.1418686250714,29.1449312869701,28.8964225637947,28.7860370371478,29.1458756840846,29.1207893636388,29.1992791160273,29.0316882355033,29.0851015159203,29.0046464301453,29.4189157910431,29.3205319264541,29.2539100144931,29.3664290988445,29.2106630393455,28.9710130851944,29.1061998397561,29.14855105086,28.8463246259544,29.1387154786113,29.0158910686917,29.0627098637679
P63039,28.7069745382905,28.7138594389713,28.8765098993668,28.8396567180024,29.0585821165453,28.9767743811883,29.4630880445248,28.9013620895469,29.1945492247673,28.7273456614645,28.5497802579285,28.6859209305712,28.8802262468501,29.1129272447677,28.7612014325663,28.9267614383816,28.8439883994051,28.8588121650124,29.1522041630951,28.392506407917,29.1555007162081,28.6357493729497,28.8648395653825,29.0541494855306,29.0514356023459,28.8304501571411,28.6533532572745,29.0276463496816,28.9437851361129,28.858041763301
Q9QWN8,31.8547281452861,31.3093862259776,31.7768291624181,31.4350604331281,31.6220172938843,31.7498662177412,30.8488845864328,31.3630469220201,31.4894875101275,31.4270376394421,31.1106476128916,31.5932949155431,31.2966921840373,31.6178964039777,31.2605124321592,31.3798176537182,31.1669806222451,31.3602712225635,31.3968266617997,31.1194414842386,31.0677448309136,31.2163461226314,30.9199619687052,31.0771524099234,31.1944809330127,31.3983798953029,31.3489262278244,31.0880911883407,31.2781895221645,31.3563273620009
P34926,29.6844044325264,29.7724008870403,29.8549097826351,29.7830861186886,29.8062743703887,29.8750478815303,29.6223559592386,29.8227608990738,29.8288599597216,29.5964240586902,29.4740775939811,29.6903782426182,29.79636862791,29.9161278457466,29.6572110425027,29.7911809829363,29.6727980879714,29.966505401171,29.7833172672247,29.8695012239532,29.6952324240609,29.7637390341064,29.5447649133812,29.2371291423703,29.8698336378612,29.821453716577,29.7239447563571,30.1619940629524,29.618648828864,29.7986138426002
P45592,28.405445019376,28.8565198090944,29.098662272274,29.0602848633389,29.3160037433887,28.7997055295724,28.9787640166626,28.8759397408503,29.6403189133248,29.4746259322645,28.9829047664062,29.1367600905074,29.4141296320256,29.5220665983843,29.0907229776628,29.3077460427839,29.1502223294456,29.3301498200041,29.3955364356977,29.1568424924014,29.4205470543905,29.3268891359498,29.2992642400969,28.9504096188146,29.6067662387427,29.2739685224939,29.0056921277372,29.2450251762168,28.9677958296582,29.331700014543
P63259,29.471709085508,29.7226755982262,29.5936881707907,29.8237296916984,30.4139216718548,29.5618845878678,30.1824553364009,29.6278468558529,30.3699052242455,30.4224314423042,29.3811243720185,29.5160038036164,30.3284910331238,30.7732311678115,29.7510134210485,30.2573996746361,30.1570282333722,30.1484488285444,30.3464551953948,30.3580463419376,30.0462925845065,30.2771929428712,30.2380924746339,29.4547700467037,30.5036525677094,30.2972716240179,29.1417081199067,30.3107368707479,29.5301990708545,30.2783006732893
P13596,28.4206200057106,28.6869879757831,28.3625646767289,28.5766645201149,28.9917719965992,28.4890482804339,29.2187214842396,28.6927002754714,28.9796805053673,28.9843401923151,28.6637457568046,28.5566643415312,28.7965164012246,28.7619942935465,29.0764381401813,28.844001928107,28.833313568431,28.6693897102907,29.315237791448,28.9992748874521,29.0021840910268,28.976265466307,28.9482037507358,28.7832876397033,28.856272411193,29.007083214774,28.6602409735456,28.8638350136765,28.7849183571811,28.8043456280397
P31044,28.9108075497218,29.0092511853329,28.4545332356819,29.3178627076176,29.8869055968397,29.0727944908174,29.8142685379168,28.979683957812,29.5104016082819,29.450157864805,28.5357148086903,28.8929168460016,29.4800587154705,29.6794812420575,29.2001180978052,29.3044273923108,29.240199759298,29.3338038311955,29.6348528010263,30.1725001809102,29.7003573367315,29.6016693861809,29.4523999223661,29.3436590516513,29.693520096604,29.5504929430614,28.4928009259188,29.2998925741441,28.8984313844194,29.2532736843588
P15146,29.3217721428336,29.1703942362041,29.3179713360952,29.4106244992784,29.6999495517593,29.577344385042,29.1791623989165,29.2786060035663,29.4797543652537,29.0372758168226,28.6031526222587,29.2446953437316,29.2844912669963,29.5405297297412,29.2810137759402,29.0394447046938,29.0048114485829,29.3776189539417,29.3042744154795,29.3236937491886,29.2309006357664,28.9437857664909,29.0821235800128,29.1551411373308,29.5827092668047,29.3075438201459,29.1186529037448,29.2490724237625,29.0440055885313,29.2556742348516
P16617,29.1289006302812,29.3866552021885,29.2111717711416,29.5609482667155,30.0033393527239,29.4274482096196,29.5859539626507,29.4868909283035,29.8978977248925,29.5399837345588,29.2879347526112,29.6234108317428,29.7816621103541,29.8615021293713,29.459380486978,29.7527384435843,29.5350544730678,29.619312709636,29.7557980533049,29.9970530653367,29.7268042658616,29.7824638659016,29.6930022272875,29.4029912771641,29.8913925645355,29.8882808562675,29.469210342627,29.9112935313195,29.643329123739,29.7794620211555
P09951,29.6361036968105,29.1357649341275,29.4481824198386,29.5555063279406,30.1286873205437,29.5121069841045,29.4447090633759,29.500537783781,30.1411631830206,29.7827582135549,29.3419096050562,29.5072959085372,29.9423415612617,30.2307648900355,29.2845855800237,29.7999073616883,29.6978030275495,29.9794514105407,29.7652021324419,29.682963379463,29.7206584600903,29.900355634383,29.7679404928282,29.2546908441525,30.136105255137,30.0687330298708,29.4436019779238,29.9321520351763,29.6409553440226,30.0280136338635
