"Protein","Symbol","FC_hfd","FC_pio","FC_ip","FC_cr","RescuePct_Pio","RescuePct_IP","RescuePct_Cr"
"Q60587","Hadhb",0.499834314768997,0.167661301669966,0.126651178006288,-0.0448833456051609,-33.5433756178689,-25.3386320754751,8.9796447100484
"D3ZW55","Itpa",0.502767809151429,-0.363700006098313,-0.362137665398865,-0.327563673743249,72.339557043671,72.0288090858642,65.1520777147826
"P40241","Cd9",0.922120586089335,0.0687453229252277,-0.142944971996243,-0.195370910056251,-7.4551337387199,15.5017656207487,21.1871324644002
"Q5PQK1","Septin10",-0.535301051681984,-0.141487181814579,-0.0588049535124853,-0.120346784413037,-26.4313289447141,-10.9853984646047,-22.4820750930513
"Q66HR2","Mapre1",-0.728322240034984,-0.38464691131577,-0.060092164025864,-0.236278628461328,-52.8127372984373,-8.25076603770572,-32.4414957382022
"P24268","Ctsd",-0.851343341262936,0.195227122156673,0.271805255086623,0.136266700144805,22.9316555018873,31.92663193717,16.0060804542922
"P97576","Grpel1",0.519368373600891,-0.13582745622568,0.0274055496565531,-0.117921058930044,26.1524311316762,-5.27670744880837,22.7047053544043
"Q9Z1Z3","Epn2",-0.756643034183433,-0.274707671384817,-0.0632884597535615,-0.174241409340702,-36.3061125225689,-8.36437486295796,-23.0282182573375
"P53678","Ap3m2",-0.395673162817424,-0.0037719841553851,-0.0107779041046356,-0.0036082506933858,-0.953308060755592,-2.72394115079492,-0.911927073267479
"P0DJJ3","Sgip1",0.422540825521512,-0.349770312416329,-0.182843750133383,-0.102958126995969,82.7778740633245,43.2724459009877,24.3664329639379
"Q62881","Nol3",3.9920083618766,-0.206204092048566,0.0782344353305149,-1.01178958875771,5.16542234775359,-1.95977633908907,25.3453774901934
"Q9JHL4","Dbnl",-0.620494972908464,-0.141217791620083,0.0299015440177648,-0.128324148376386,-22.7588937518944,4.81898247742547,-20.6809328002914
"P70600","Ptk2b",0.528391420386917,0.10782482682913,0.0746827148202875,0.025538572501496,-20.4062410305933,-14.1339756738671,-4.83326782308374
"Q6XVN8","Map1lc3a",0.471760605192348,0.0895338578287834,-0.209736325747784,-0.158965430065532,-18.9786635092768,44.4582111010031,33.6962069990388
"P01026","C3",-0.338817024944859,-0.0012428080045019,0.132480730485316,0.0705833110261267,-0.366808015241903,39.1009662241373,20.8322799120303
"Q9JJL4","Rhoq",0.704305552798925,-0.350245755357843,-0.246885413504568,-0.407108396640137,49.7292338482863,35.0537366237481,57.8028094514206
"P70618","Mapk14",0.904580035207015,-0.021929371637551,-0.0707227950555733,0.0292357603119804,2.42425996418685,7.81830156569708,-3.23197054700524
"P27274","Cd59b",1.11826819729012,0.188507582378165,0.104317718782546,-0.0961542203044168,-16.8570994717521,-9.32850625953035,8.59849368312768
"Q64537","Capns1",-1.09905094225216,-0.682020117200853,-0.268344171900047,-0.224482432813932,-62.0553689534415,-24.4159903407352,-20.4251162693083
"P97526","Nf1",-0.315048620017496,-0.0451998929589621,0.058346091667719,-0.0014918396839114,-14.3469579255583,18.5197102797907,-0.473526811140627
"Q68FU3","Etfb",-0.637408419733958,0.0283914391391491,-0.194074754966699,0.164001747823654,4.45419895002315,-30.4474727597263,25.7294605383633
"D3ZFD0","Myo18a",-0.34254403031041,0.275797246342812,0.0320037481961606,0.179510846626524,80.5143928775776,9.34295896710245,52.4051890391589
"Q566C7","Nudt3",0.75799121106165,-0.319999730007204,-0.159369988612315,-0.317344279509388,42.2168127199007,21.0253082471893,41.8664853732159
"Q63269","Itpr3",-0.480969888947239,-0.120447929039976,-0.025659471471954,-3.96840871879078e-05,-25.0427171862288,-5.3349434261089,-0.00825084648745257
"Q64640","Adk",0.717616724057468,-0.26814083284923,-0.209793170814464,-0.28590344586765,37.3654659736939,29.2347103657611,39.8406888082439
"P59649","Fxyd7",-0.512863325896358,-0.16420174390748,-0.0443125374696294,-0.121086275797698,-32.0166671345618,-8.64022347321912,-23.6098527002431
