protein_id,mean_intensity,mean_treatment,mean_control,log2FoldChange,pvalue,padj,-log10(pvalue),s0_corrected_-log10(pvalue),regulation
Q9R1N3,28.535956550794555,28.459562145101984,28.52220307961306,-0.06264093451107655,0.6967139555551255,0.9045459796956566,0.1569454902263296,,non significant
P62198,27.44949217684915,27.527545439932197,27.43113622319314,0.09640921673905822,0.6992323604862778,0.9066878244130577,0.15537848075207458,,non significant
P61589,26.490919994617897,26.49969865881828,26.428891107983265,0.07080755083501344,0.7024421635684015,0.9085630425899289,0.15338942811630624,,non significant
P29101,27.387663536534255,27.230939140452772,27.391059055020488,-0.16011991456771568,0.7031631933991337,0.9085630425899289,0.15294387018969696,,non significant
Q9ESM2,26.268887756417822,26.486202197307676,26.33323819172121,0.1529640055864654,0.7028413846163865,0.9085630425899289,0.15314267435178996,,non significant
Q62656,29.011558005155152,28.966992570328216,28.923584550378155,0.043408019950060606,0.705557979114802,0.9105848271634562,0.1514672923631923,,non significant
Q9JJ79,31.185899847631298,31.03339023732543,31.15442396904906,-0.12103373172362808,0.7064406670317698,0.9106526577366056,0.15092430807271268,,non significant
P15791,23.892723100267215,23.613614899543762,23.721966284713748,-0.10835138516998555,0.7090670848394531,0.9110477724158386,0.14931267427061576,,non significant
P16409,24.846723226868168,24.77991452124127,24.8903917300719,-0.1104772088306305,0.7103854358446138,0.9110477724158386,0.14850595094166763,,non significant
Q9Z269,26.345505959797183,26.18187807220662,26.266431872677572,-0.08455380047095318,0.7108996291594875,0.9110477724158386,0.14819171232124947,,non significant
Q8CFD0,24.864338495857844,24.924839910691848,24.84755936754145,0.07728054315039756,0.7107515680763463,0.9110477724158386,0.14828217348605605,,non significant
Q9Z2S9,28.141829398243353,28.04298012149171,27.98404200172217,0.058938119769539554,0.7082816238715034,0.9110477724158386,0.14979402567970118,,non significant
Q63610,27.582275899598176,27.559044715293755,27.61141436450104,-0.05236964920728582,0.711766121240722,0.9110938564773302,0.1476626874594095,,non significant
P50137,28.453401435259654,28.494990741745085,28.453724314687292,0.04126642705779204,0.7154176649235623,0.914700674150522,0.14544034055815536,,non significant
Q6MGD0,22.89736664872952,22.792575852303287,22.8646820276584,-0.07210617535511332,0.7175579908756955,0.9163691687900326,0.14414299480359347,,non significant
P05370,27.20117454525585,27.137353090738287,27.19541273397118,-0.05805964323289459,0.7216123580525358,0.9204752985856183,0.1416960378440717,,non significant
P61314,28.922943103587144,28.929967881755772,28.877113929622592,0.052853952133180115,0.7355879360451554,0.9239925005196977,0.1333654019896727,,non significant
P21533,29.544538346786315,29.60783542543,29.556413775232972,0.05142165019702816,0.7354708892971407,0.9239925005196977,0.13343451242362553,,non significant
Q9JLJ3,28.54533441409875,28.467860571683705,28.523832967844523,-0.055972396160818505,0.7388300022696787,0.9239925005196977,0.13145547712512837,,non significant
P13383,31.67237162791316,31.797429192759893,31.874480512566763,-0.07705131980686986,0.7283088965818697,0.9239925005196977,0.13768438493407892,,non significant
Q9QZA2,28.57700285708561,28.34119410056826,28.409004095340332,-0.06780999477207317,0.7395309165508611,0.9239925005196977,0.13104366533608827,,non significant
Q68FR8,29.56716260449279,29.33340233611563,29.437159742176018,-0.10375740606038875,0.7267305234840358,0.9239925005196977,0.1386265985761163,,non significant
Q6PDU1,26.914148896520608,27.085461095619607,27.180042141896205,-0.09458104627659836,0.73220787820237,0.9239925005196977,0.13536560263092873,,non significant
P16884,31.437588367521908,31.380027176001402,31.32004609959807,0.05998107640333217,0.7350206297807234,0.9239925005196977,0.13370047142709982,,non significant
Q9JHL4,28.964195263780294,28.745991961124002,28.81649367109526,-0.07050170997125704,0.7383407042012085,0.9239925005196977,0.13174318856969394,,non significant
Q1WIM2,27.18989489104653,27.084391646857323,27.033577457588134,0.05081418926918957,0.7329246233816447,0.9239925005196977,0.1349406874771324,,non significant
Q9QUH6,29.685013861096852,29.58117071478812,29.672420330105993,-0.09124961531787434,0.7363191710987773,0.9239925005196977,0.13293389191224061,,non significant
P07896,28.711815305701958,28.529824355721754,28.593539082087332,-0.0637147263655784,0.7357688844600978,0.9239925005196977,0.13325858235568638,,non significant
P13832,23.238003242126148,23.617687895034777,23.506135840294338,0.11155205474043939,0.7380296393180686,0.9239925005196977,0.1319261965322334,,non significant
O35179,29.22943645776738,29.139343784984437,29.10304025439451,0.03630353058992597,0.7362892384145538,0.9239925005196977,0.13295154711440382,,non significant
Q63028,28.915052491405717,28.733692700557622,28.672085916375053,0.06160678418256893,0.7383575318631838,0.9239925005196977,0.1317332905951978,,non significant
