Protein.Ids	Description	AC1R1.raw	AC1R2.raw	AC1R3.raw	AC2R1.raw	AC2R2.raw	AC2R3.raw	AHFD1R1.raw	AHFD1R2.raw	AHFD1R3.raw	AHFD2R1.raw	AHFD2R2.raw	AHFD2R3.raw	AHFD3IPR1.raw	AHFD3IPR2.raw	AHFD3IPR3.raw	AHFD4IPR1.raw	AHFD4IPR2.raw	AHFD4IPR3.raw	AHFD5PioR1.raw	AHFD5PioR2.raw	AHFD5PioR3.raw	AHFD6PioR1.raw	AHFD6PioR2.raw	AHFD6PioR3.raw	AHFD7CrR1.raw	AHFD7CrR2.raw	AHFD7CrR3.raw	AHFD8CrR1.raw	AHFD8CrR2.raw	AHFD8CrR3.raw
Q4KLH4	Paraspeckle component 1 OS=Rattus norvegicus OX=10116 GN=Pspc1 PE=1 SV=1	613720289.796875	396296256.453125	443137382.5	427296658.875	320462548.625	400692189.0	438996149.125	385024362.25	335085748.375	464697537.0	563803316.195313	424830463.0	360804408.9375	439327194.0	463369831.5	484238242.5	488534899.875	423287718.875	311234359.625	268230501.375	437745275.75	494319148.75	486889026.0	433978502.5	325647785.875	585063576.25	554572599.875	442518970.03125	458839221.75	511277335.75
P20717	Protein-arginine deiminase type-2 OS=Rattus norvegicus OX=10116 GN=Padi2 PE=1 SV=1	341714115.6875	277848244.0	270486257.226563	369134403.015625	353996225.5	400271625.875	444756521.1875	330307317.0	439425380.25	391132528.75	428641573.5	362022010.25	336119768.25	341903593.0	501117238.0	430011003.625	451337092.75	376886117.5625	359455020.25	252378247.75	361891137.0	367635890.0	267046585.796875	433905845.75	415638797.875	447481486.25	362834836.0	356601803.03125	329227637.875	436400811.75
P00406	Cytochrome c oxidase subunit 2 OS=Rattus norvegicus OX=10116 GN=Mt-co2 PE=1 SV=3	40287155.203125	30793425.234375	29845879.625	38418322.5	35440339.0	40724462.7109375	46067220.0	41121997.875	44897026.0	49260971.5	27028165.0	37797295.0	35234549.0	49543048.0	52549452.5	54046145.5	33550250.703125	41302129.0	46920677.3125	22438204.1210938	41519200.453125	41235605.0234375	36780279.5	64141617.875	53252210.0	50236486.0	48133744.5	36569203.65625	36926932.0	61590858.5
Q62703	Reticulocalbin-2 OS=Rattus norvegicus OX=10116 GN=Rcn2 PE=1 SV=2	15487077.5	45006304.0	24735572.2265625	52988080.75	36452972.25	5756549.375	11350637.1875	40270388.875	29200622.0	20816323.5	3358303.0625	44288448.625	10583659.625	16672310.875	18352781.5	8283973.375	28515997.125	21286904.75	8253364.5	13232601.0	30672481.75	11791392.25	7542239.6875	11501952.75	14257978.625	29997504.875	46860247.5	14417110.375	36133604.5	34864523.0
P61150	Fibroblast growth factor 12 OS=Rattus norvegicus OX=10116 GN=Fgf12 PE=1 SV=1	373140308.25	299548795.0	300953385.851563	285427111.375	213012836.25	302567766.390625	161830038.5625	244684433.0	209322680.5	168627539.125	289287723.375	259237905.125	177179486.25	213358021.75	312242017.25	164325484.875	223878224.625	210730221.75	215330721.5	264656160.9375	257034013.25	223564413.625	164507115.875	354215865.75	198340252.0	251181235.0	319463433.875	163208581.125	321441052.0	171844358.75
P04218	OX-2 membrane glycoprotein OS=Rattus norvegicus OX=10116 GN=Cd200 PE=2 SV=1	187128834.0	123395804.25	302055997.5	244927231.75	307394846.0	381681161.75	341475254.75	370070991.46875	414803489.5	286394348.5	668256332.75	383121649.5	299241718.75	94781007.75	411261975.5	345127085.5	442390870.5	341036310.5	292340512.25	206008659.5	297731366.625	331651629.875	248335308.0	344050591.0	347670004.375	93384025.5	430334648.0	469856019.0	337211767.0	410774279.0
P29418	ATP synthase subunit epsilon, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5f1e PE=1 SV=2	878720706.9375	744629025.625	784495818.97168	754938315.0	667262117.125	906360830.0	577186422.625	773709339.5	798775088.75	768275592.5	833241120.8125	815193892.25	661033040.875	991681891.75	705393401.75	738111736.75	834134852.25	742694687.0	750176201.324219	695686369.4375	620709854.5	718057256.75	487946184.980469	622856044.0	714292174.0	946375448.523438	993081507.25	911369501.0	849476760.5	823666785.25
Q4KLF8	Actin-related protein 2/3 complex subunit 5 OS=Rattus norvegicus OX=10116 GN=Arpc5 PE=1 SV=3	3808880.5625	8658239.5	11015921.6875	7649812.25	13542608.125	9223250.25	17691371.546875	5027813.25	16228169.0	16297330.5	12366886.75	5319796.0	16458276.3125	25394391.0	12295258.25	25346570.0	24630065.0	11804282.75	11123903.5	17982817.25	26648211.0	9923268.0	26818347.0	5519192.75	15745224.0	13499845.5	11421762.875	18342907.0	6708461.3125	21185050.5
O88778	Protein bassoon OS=Rattus norvegicus OX=10116 GN=Bsn PE=1 SV=3	1405067295.5	1156999743.42188	1202804375.625	1286761280.21875	965917770.3125	912327763.0	1385920202.71875	1262045710.83594	1204211961.59375	1226763779.375	1036510651.92188	1174652813.5625	1027509796.65625	1112014022.625	1537232525.5625	1298314144.9375	1393332536.34375	1223927584.125	1294557390.99219	1090500667.25	1342230106.875	1170981991.125	1046365434.3125	1392804196.50781	1081062812.8125	1452005571.71875	1468939282.59375	1170906011.34375	1354881030.875	1285354892.0
P01835	Ig kappa chain C region, B allele OS=Rattus norvegicus OX=10116 PE=1 SV=1	19205541.875	3920574.5	13430532.53125	8997082.0	7200027.0	4786940.5	7098179.0	6275413.3125	8150122.25	12028541.0	14144931.5	6686015.625	9035734.0	6604972.25	19739945.0	14572993.75	12275186.875	11213930.0	6078910.5	9786720.5	3803025.0	12744067.5	6631996.875	7299927.125	7103798.0	8812959.0	7550390.75	4886603.5	8581566.125	7282492.5
P19132	Ferritin heavy chain OS=Rattus norvegicus OX=10116 GN=Fth1 PE=1 SV=3	218028611.5	140952019.875	153908445.3125	142813653.625	127755465.0	138973187.125	165265776.15625	128345574.25	149197718.5	109620003.625	135174809.75	135740872.25	132746831.625	149510558.125	169334810.5	162067862.875	137544560.5	140619733.5	147584494.0	58233073.625	162843600.5	128663906.5	105725658.0	181730182.09375	127777830.0	189117292.5	160239408.25	146044244.0	185070949.75	151284345.5
Q62847	Gamma-adducin OS=Rattus norvegicus OX=10116 GN=Add3 PE=1 SV=3	114083796.75	83758759.296875	99954896.03125	102704252.25	96128493.6875	87667074.375	119913591.9375	94936556.828125	136706934.125	96901276.25	96620090.6875	96123723.0	108534086.90625	116877148.375	116383420.140625	128549292.25	161653463.671875	143823657.234375	132822121.828125	117296196.84375	167526967.5	127431498.625	148332420.875	127756885.75	167439582.015625	156135851.0	140122731.125	164930928.828125	116457083.5	140310974.625
