"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0044281","small molecule metabolic process",211,0.29857958479323,1.49067656559511,0.00298032175362689,0.124446605907542,0.118906803726218,226,"tags=31%, list=24%, signal=31%","245965/690660/25368/24189/294292/294930/60666/362809/25728/171375/298942/24943/85428/25721/24957/311422/171155/50646/24534/24533/140547/81654/117287/641434/289950/24551/25459/60449/25650/170851/24786/83782/81743/170587/81829/25630/24401/24212/24333/298410/25058/117243/292804/24399/301458/29443/24191/25045/64524/116643/25275/114096/84509/81683/65152/54231/24642/25289/81869/24398/171133/58942/171374/29384/24679/78959"
"GO:0031102","neuron projection regeneration",16,0.625709949375373,1.82761544131073,0.00317266934145148,0.12932404553726,0.123567121719689,127,"tags=50%, list=13%, signal=44%","25728/24588/29409/83613/50568/170851/24832/24586"
"GO:0021762","substantia nigra development",25,0.552522395032483,1.81879590695639,0.00348095629751874,0.138590632124467,0.132421201624091,337,"tags=68%, list=35%, signal=45%","171375/24943/24533/29409/29545/24399/29753/25275/64465/24547/29511/295214/94271/117273/25576/294962/171114"
"GO:1990090","cellular response to nerve growth factor stimulus",21,-0.552693342238384,-1.8099075002082,0.00365054583440639,0.138882988188972,0.132700543313861,141,"tags=43%, list=15%, signal=37%","29257/84510/294568/293692/29489/50592/24592/288700/116743"
"GO:0005996","monosaccharide metabolic process",37,0.478328891743344,1.73930811492581,0.00357244722406537,0.138882988188972,0.132700543313861,203,"tags=43%, list=21%, signal=35%","24189/60666/24533/81654/289950/25459/60449/81829/25630/24401/24333/25058/292804/24191/65152/24642"
"GO:0006950","response to stress",299,0.276963593728739,1.43078483136604,0.00411178793267735,0.153030020450948,0.146217813441204,218,"tags=30%, list=23%, signal=34%","363875/24189/288001/85383/298012/288707/24936/362245/117254/50676/25728/171375/299331/289218/24943/24440/25407/24957/29338/50646/313413/24533/24588/29409/24186/25344/299923/117287/83613/25459/63836/50568/25650/170851/64352/65179/29545/24786/24832/83782/25506/24787/81743/81732/140447/24778/65171/25630/64371/365216/24586/24401/362862/117030/24212/24333/25058/308061/94167/117243/292804/29443/25130/24191/25262/25045/29144/81504/116643/64521/25309/361422/29271/170923/29753/29318/246333/361967/64647/298682/84353/81683/54231/24829/56646/81869/266759/171374/94197/25578"
"GO:0048857","neural nucleus development",26,0.53974012869862,1.79813160172412,0.00424363547209336,0.154576679323911,0.147695622029856,337,"tags=65%, list=35%, signal=44%","171375/24943/24533/29409/29545/24399/29753/25275/64465/24547/29511/295214/94271/117273/25576/294962/171114"
"GO:0048678","response to axon injury",24,0.533529147414762,1.73478243477112,0.00461207281556864,0.164497263755282,0.157174586741089,127,"tags=42%, list=13%, signal=37%","25728/24588/29409/83613/50568/170851/24786/24832/24787/24586"
"GO:0034660","ncRNA metabolic process",21,-0.53630866268887,-1.75625251264299,0.00508556036729589,0.177683252016542,0.169773594216495,237,"tags=52%, list=25%, signal=40%","292023/83581/29304/117021/140655/266975/29258/691531/122799/362361/293621"
"GO:0090068","positive regulation of cell cycle process",21,-0.533217054047341,-1.74612840721167,0.00570668610393435,0.191334550127016,0.182817198043152,176,"tags=48%, list=18%, signal=40%","24654/60460/29340/29337/24629/81830/24246/29489/114612/24245"
