protein_id,mean_intensity,mean_treatment,mean_control,log2FoldChange,pvalue,padj,-log10(pvalue),s0_corrected_-log10(pvalue),regulation
Q6IG03,28.789313668805665,28.93841599870005,28.8087148962552,0.12970110244485156,0.46377753983525793,0.8020631980127509,0.33369028752597707,,non significant
Q63429,25.503087726945825,25.46689316475697,25.315008586091277,0.15188457866569394,0.4752278584871681,0.8020631980127509,0.32309810836225666,,non significant
Q5M7A7,26.182853366000845,26.204919236577066,26.00455207304962,0.20036716352744577,0.4747754339789253,0.8020631980127509,0.3235117605755071,,non significant
P04692,26.682035535163873,26.71968629994474,26.58035498125922,0.13933131868552096,0.4764999030553262,0.8020631980127509,0.3219371833835586,,non significant
P62749,25.3937513275154,25.4788692623515,25.287483267965992,0.19138599438550585,0.4787551139703964,0.8030494801613529,0.3198865739481005,,non significant
B0BNF1,28.244045355417104,28.270963982774703,28.15192346656404,0.11904051621066358,0.479661745985013,0.8033418860237546,0.3190649160350048,,non significant
P51156,24.147244894782677,24.12412065279292,23.934907518563296,0.18921313422962527,0.48241277444479536,0.8067177036066165,0.31658120045864174,,non significant
P68403,28.106277102835822,28.399319849385744,28.136821770565145,0.26249807882059883,0.48827239358972196,0.8152736921886226,0.31133782957738393,,non significant
P63039,28.887430222433917,28.977709428293505,28.84696261374538,0.1307468145481252,0.48988462907750263,0.8167225503009429,0.3099061870216214,,non significant
Q5RKI1,28.901526069422072,28.870885989743687,28.79665702431716,0.0742289654265278,0.4916399547006798,0.8171651974343116,0.3083528300147843,,non significant
Q6IFV4,26.310258671014655,26.395257042445184,26.258348697015464,0.1369083454297204,0.49136513307561425,0.8171651974343116,0.3085956639937075,,non significant
P22831,24.04381393743301,24.13812178400587,24.003009809244272,0.13511197476159964,0.4982694702972186,0.826931329676322,0.3025357218749784,,non significant
P17074,27.73750041134901,27.698870456997813,27.864451060897732,-0.1655806038999188,0.4993229811206754,0.8274279611622068,0.3016184452723127,,non significant
Q03343,27.242217449422437,27.346398968921307,27.192731239322224,0.15366772959908204,0.5008914323092917,0.8287751149974253,0.30025639680443633,,non significant
Q01728,26.866064098447218,26.882263026054147,27.00822347892563,-0.12596045287148172,0.5036009871410797,0.8307523051034051,0.2979134272744538,,non significant
P51647,27.687870981869523,27.713529614478613,27.636991805170567,0.07653780930804643,0.5033827330874869,0.8307523051034051,0.298101685596229,,non significant
Q5U316,27.760028340040922,27.755673553916704,27.619462492309196,0.13621106160750784,0.5047476801488922,0.8313937013863884,0.29692566842365,,non significant
Q5XI22,26.199318955921022,26.265633866297225,26.07742300858422,0.18821085771300616,0.5219847003936804,0.8340037624469645,0.28234222617776866,,non significant
Q6J4I0,25.179610108225187,25.091428414621717,24.96555577953617,0.12587263508554614,0.5090589249107603,0.8340037624469645,0.2932319440238826,,non significant
P23928,25.75451622438699,25.426270147556647,25.875297849287467,-0.4490277017308202,0.516403396770245,0.8340037624469645,0.28701090971754223,2.721850568891579,non significant
P05508,25.28621181303704,25.24312322790017,25.347440116487558,-0.10431688858738752,0.5228648908598889,0.8340037624469645,0.2816105190380569,,non significant
P03994,26.541384720824126,26.516797451922432,26.6876863259213,-0.17088887399886943,0.5110680828233871,0.8340037624469645,0.29152124071666485,,non significant
P52303,29.30551627383703,29.438931732204015,29.64955223912935,-0.21062050692533418,0.5207635639191233,0.8340037624469645,0.2833594095059738,,non significant
Q4QQS8,28.37749594715827,28.425699195547548,28.36161446930792,0.0640847262396278,0.5235041480148401,0.8340037624469645,0.2810798728145201,,non significant
Q64232,28.69225759774805,28.576908990365606,28.719559849734726,-0.1426508593691196,0.5281908148046544,0.8340037624469645,0.27720915540917523,,non significant
P35434,24.859896172567314,25.082887102853665,24.93876594344482,0.14412115940884362,0.5238796266119587,0.8340037624469645,0.2807684906951147,,non significant
Q6AY09,28.0707776439148,28.30092345546994,28.14784475757737,0.15307869789256756,0.528379776573054,0.8340037624469645,0.27705381310672744,,non significant
Q5EB77,23.77125175352323,24.135065940976364,23.961220989957948,0.1738449510184168,0.5082194053295092,0.8340037624469645,0.2939487563131439,,non significant
Q63941,25.472753068788517,25.566955962525636,25.384453820761838,0.18250214176379842,0.5261716245048865,0.8340037624469645,0.27887257634387425,,non significant
P62914,27.98417420437419,27.92538731569344,27.997974102612094,-0.07258678691865583,0.5181375214336053,0.8340037624469645,0.28555495671590575,,non significant
O89046,27.936094293632507,27.887039813496603,27.994804926831364,-0.1077651133347608,0.5275064665783848,0.8340037624469645,0.2777722120831692,,non significant
P70566,27.647568845188417,27.589981610366365,27.13833576203518,0.4516458483311858,0.525841005339236,0.8340037624469645,0.2791455504126399,2.7065749176759084,non significant
Q9R0I8,27.505445331303292,27.50299970075541,27.367327417337396,0.13567228341801396,0.5130217622270169,0.8340037624469645,0.2898642118576853,,non significant
Q07310,32.16506514539787,32.29998488731661,32.121243384374075,0.1787415029425361,0.5237859739094808,0.8340037624469645,0.2808461354168458,,non significant
P62882,27.612633513819627,27.59546514920685,27.509284516694635,0.08618063251221386,0.517468889167982,0.8340037624469645,0.286115755376013,,non significant
P82471,26.890431112894216,26.860723674089467,26.77893176068535,0.08179191340411762,0.5100663065868143,0.8340037624469645,0.29237336368056255,,non significant
Q6PST4,27.779050003015595,27.700035461709486,27.848296960328224,-0.14826149861873716,0.5095326628561343,0.8340037624469645,0.2928279709440934,,non significant
Q924S5,28.129315969028987,28.156928754751963,28.07879159530137,0.0781371594505913,0.5233077773076447,0.8340037624469645,0.2812428108045827,,non significant
P47198,25.841982843897185,25.920548703376486,26.174911102856157,-0.2543623994796711,0.5111640770001016,0.8340037624469645,0.29143967462433673,,non significant
P62738,24.31244579249854,24.5549034840258,23.812181671430864,0.7427218125949366,0.5166882686936556,0.8340037624469645,0.28677139891388764,1.9435834594776742,non significant
Q63692,28.28399365363371,28.223306839466147,28.31290852935406,-0.08960168988791395,0.5279256836233386,0.8340037624469645,0.27742720902658624,,non significant
Q6P799,28.451037025156914,28.428025065114664,28.3642001172778,0.06382494783686354,0.5159956200872194,0.8340037624469645,0.2873539847681857,,non significant
Q5I0G4,28.689609972231782,28.69843819010087,28.59054073623931,0.10789745386156113,0.5258465250908577,0.8340037624469645,0.27914099164855555,,non significant
O35095,28.01155488449391,28.203122381657412,28.04010391679131,0.16301846486610216,0.5183948360958025,0.8340037624469645,0.2853393332683812,,non significant
P62762,28.14635110256702,28.20007500142464,28.073311277634122,0.1267637237905177,0.5249081130983451,0.8340037624469645,0.279916714626387,,non significant
P80432,23.699493073097265,23.605257330308365,23.8489872816406,-0.2437299513322344,0.5226906001461817,0.8340037624469645,0.28175531000623066,,non significant
Q9Z1N4,26.43393948138107,26.330317151997587,26.435112389377476,-0.10479523737988927,0.5307239349165884,0.835300081210183,0.27513132584753164,,non significant
P30839,26.432928451354346,26.367925895008643,26.459210004737656,-0.09128410972901335,0.5304919065693425,0.835300081210183,0.27532123751021226,,non significant
Q63377,27.558564442864416,27.50591060585393,27.425302252926524,0.0806083529274062,0.5384641100094258,0.8368312413313607,0.2688432382235687,,non significant
O08839,29.187722542693784,29.206761244909373,29.15354395155924,0.05321729335013359,0.5377868966489732,0.8368312413313607,0.2693897837087991,,non significant
P19332,28.05891052516854,28.097944912597256,28.03432428262157,0.06362062997568785,0.5368790737982545,0.8368312413313607,0.2701235234181355,,non significant
P62138,22.322988905690973,22.70657405766185,22.37186268241822,0.3347113752436286,0.537481331921129,0.8368312413313607,0.269636615290377,4.079790781978333,non significant
P00406,25.295289582616842,25.37784342050017,25.264073733956547,0.1137696865436233,0.5333845759027481,0.8368312413313607,0.27295954713353854,,non significant
P02625,27.053664420402065,26.987390058704506,27.079325623959917,-0.09193556525541169,0.5343726499088315,0.8368312413313607,0.2721557778858728,,non significant
Q4V8B7,25.453231023762452,25.4204170860796,25.343151240074278,0.07726584600532149,0.5360701388617677,0.8368312413313607,0.27077838394937903,,non significant
Q62812,30.58261718676312,30.573346315955018,30.502780989104874,0.0705653268501436,0.5385623121056888,0.8368312413313607,0.2687640412275419,,non significant
Q80Z30,27.78684325573261,27.99846262964877,27.84505581430383,0.15340681534494038,0.5383855605153709,0.8368312413313607,0.26890659639290027,,non significant
Q6JE36,25.9550333467081,26.112443872932,26.31326825012051,-0.20082437718851054,0.5403629595473188,0.8384415369496588,0.2673144283686161,,non significant
Q920J4,28.849085459566147,28.97692813676153,28.90042170393067,0.07650643283085756,0.5430776849526517,0.8412880306216294,0.26513804198923896,,non significant
P47728,27.625246968634013,27.594721843095517,27.708672958056912,-0.1139511149613952,0.5437312795904605,0.8412880306216294,0.2646156823325142,,non significant
P27881,29.686951255032103,29.697463699852275,29.62970900356031,0.06775469629196351,0.5475813247698709,0.841311923350908,0.2615513718742359,,non significant
O70127,28.190387425846627,28.1614231797207,28.09976319375532,0.061659985965381026,0.5468707410596343,0.841311923350908,0.26211531183521497,,non significant
P97846,30.745649501251403,30.77749490233516,30.67322932503366,0.10426557730150066,0.5464819312676574,0.841311923350908,0.262424192873433,,non significant
Q9JLT0,30.690275615196622,30.747262758040367,30.685571767876976,0.061690990163391746,0.5455922207982895,0.841311923350908,0.26313183059582584,,non significant
B2GV06,27.564452466787408,27.581746420808827,27.71123657484253,-0.12949015403370367,0.5451373220839971,0.841311923350908,0.26349408357445964,,non significant
P97546,27.196283278450558,27.430863896925086,27.2726196897806,0.1582442071444845,0.5493735142163131,0.8428849581752385,0.2601322821323765,,non significant
P62168,25.720178240599864,25.45081680415618,25.57676389380931,-0.12594708965313117,0.5509983233534896,0.8441971518418688,0.2588497226716912,,non significant
Q68FP1,28.0859970992388,28.090496306936846,27.982741545885105,0.10775476105174064,0.5535015456962864,0.8468496452284885,0.2568811619823125,,non significant
Q66HD0,29.213160399702723,29.344549110041907,29.179411225752393,0.16513788428951415,0.5599853643416597,0.8484861114403324,0.25182332347365216,,non significant
M0RC99,29.451699112316973,29.57096243974482,29.75073583334381,-0.17977339359898892,0.5577004475955427,0.8484861114403324,0.2535990069551015,,non significant
P05426,27.146742892493812,27.140979694699542,27.048000002597945,0.09297969210159707,0.559371272021153,0.8484861114403324,0.25229984172398956,,non significant
Q04666,28.04200043563668,28.207720117515564,27.962174416170104,0.24554570134545983,0.5563683469959957,0.8484861114403324,0.25463758593377955,,non significant
P39069,27.40299867171702,27.45218699575921,27.328872246768924,0.1233147489902855,0.5594656855318025,0.8484861114403324,0.25222654549166057,,non significant
Q6AXY0,27.148350956873593,27.225465737385548,26.977055015685583,0.24841072169996536,0.5589884278639886,0.8484861114403324,0.25259718275192056,,non significant
Q9ERQ6,25.266927057471342,25.272898697979162,25.375791511882316,-0.10289281390315352,0.5591554794709392,0.8484861114403324,0.2524674148550414,,non significant
P07936,27.870428453869692,27.82483213133891,27.746771740260574,0.07806039107833485,0.5636858374560938,0.8517401703709846,0.24896287664324204,,non significant
O70351,29.012628443195897,29.102507120517696,28.97206011835219,0.1304470021655071,0.5630321802065853,0.8517401703709846,0.2494667822592267,,non significant
